,company,location,position,experience,Experience_min,Experience_max,skill_1,skill_2,skill_3,skill_4,skill_5,skill_6,skill_7,skill_8,skill_9,skill_10,skill_11,skill_12,skill_13,skill_14,skill_15,skill_16,skill_17,skill_18,skill_19,skill_20,skill_21,skill_22,skill_23,skill_24,skill_25,skill_26,skill_27,skill_28
247,GLOINNT Solutions Pvt. Ltd.,Bengaluru / Bangalore,5G Architect,4 - 6,4,6,linux  ,  c programming  ,  3gpp,,,,,,,,,,,,,,,,,,,,,,,,,
248,Xtend Technologies  ( P )  Ltd.,Cochin/ Kochi/ Ernakulam,Programmer / Technical Support,0 - 2,0,2,software development  ,  ivr  ,  programming language,,,,,,,,,,,,,,,,,,,,,,,,,
249,IDZ Digital,Mumbai,Action Script Developer,3 - 6,3,6,action script  ,  flash  ,  programming skills,,,,,,,,,,,,,,,,,,,,,,,,,
250,Internet Design Zone,Mumbai,Action Script Developer,3 - 6,3,6,action script  ,  flash  ,  programming skills,,,,,,,,,,,,,,,,,,,,,,,,,
251,embitel technologies bangalore,Bengaluru / Bangalore,Communication C   Developer,3 - 8,3,8,udp  ,  c    ,  socket programming  ,  mqtt,,,,,,,,,,,,,,,,,,,,,,,,
252,robust designs india pvt ltd,"Mumbai,  Bengaluru / Bangalore",Product Developer,0 - 3,0,3,c  ,  web technologies  ,  besides programming,,,,,,,,,,,,,,,,,,,,,,,,,
253,phillips corporation,,CNC Applications Engineer,2 - 3,2,3,license  ,  cnc  ,  action  ,  cnc programming,,,,,,,,,,,,,,,,,,,,,,,,
254,Sumo Digital Ltd,,UI Programmer,0 - 3,0,3,C    ,  UI frameworks  ,  Strong programming,,,,,,,,,,,,,,,,,,,,,,,,,
255,Sumo Digital Ltd,,Senior Software Engineer,0 - 3,0,3,console programming  ,  C    ,  Apple and Sega,,,,,,,,,,,,,,,,,,,,,,,,,
256,RJ SOFTWARES,Kolkata,Scala Developer,0 - 3,0,3,java  ,  Scala Programming  ,  web services,,,,,,,,,,,,,,,,,,,,,,,,,
257,Sumo Digital Ltd,,Graphics Programmer,0 - 3,0,3,graphics  ,  games  ,  rest  ,  c   programming,,,,,,,,,,,,,,,,,,,,,,,,
258,VSH Solutions,Pune,Senior Software Engineer - Android,0 - 3,0,3,c  ,  java programming  ,  Software Engineer,,,,,,,,,,,,,,,,,,,,,,,,,
259,APPLYCUP HIRING SOLUTIONS LLP,Chennai,Jr. Developer,0 - 1,0,1,software development  ,  Jr. Developer  ,  programming,,,,,,,,,,,,,,,,,,,,,,,,,
260,xtra care hr solution,"Noida/Greater Noida,  Gurgaon,  Chennai",Software Developer,1 - 5,1,5,Software Developer  ,  Java  ,  Application Programming,,,,,,,,,,,,,,,,,,,,,,,,,
261,2SOFT SOLUTIONS PVT LTD,"Mumbai,  Bengaluru / Bangalore",SQL Developer,5 - 8,5,8,database  ,  database programming  ,  sql developer,,,,,,,,,,,,,,,,,,,,,,,,,
262,APPLYCUP HIRING SOLUTIONS LLP,"Noida/Greater Noida,  Delhi,  Delhi/NCR",Software Engineer,2 - 3,2,3,RTOS  ,   Bare Metal  ,   C Programming,,,,,,,,,,,,,,,,,,,,,,,,,
263,APPLYCUP HIRING SOLUTIONS LLP,Chennai,Java Developer,2 - 6,2,6,java  ,  java programming  ,  java developer,,,,,,,,,,,,,,,,,,,,,,,,,
264,heaven techno system private limited,Bhopal,Server Administrator,2 - 5,2,5,mvc  ,   sql programming  ,   Server Administrator,,,,,,,,,,,,,,,,,,,,,,,,,
265,HARMAN INTERNATIONAL,Bengaluru / Bangalore,android framework developer,0 - 3,0,3,c   programming  ,  problem solving  ,  debugging,,,,,,,,,,,,,,,,,,,,,,,,,
266,"SAMPOORNA CONSULTANTS PVT LTD
     (More Jobs)",(More Jobs),CRabbit MQ L4 CHN / HYD - J46221,2 - 5,2,5,c ++ Programming  ,  Mutithreading  ,  Linux  ,  Unix,,,,,,,,,,,,,,,,,,,,,,,,
267,"BENCH MARK INFOTECH SERVICES PRIVATE LIMITED
     (More Jobs)",(More Jobs),ROBOTICS EDUCATOR,1 - 6,1,6,Lecturer  ,  professor  ,  Programming  ,  Teaching  ,  Education,,,,,,,,,,,,,,,,,,,,,,,
268,scanpoint geomatics ltd.,Ahmedabad,"Team Lead-DirectX ,  OpenGL ,  GDI  , MFC",6 - 9,6,9,win32  ,  photogrammetry  ,  image processing  ,  system programming  ,  c   programming  ,  mfc  ,  opengl  ,  graphics programming  ,  vc    ,  directx,,,,,,,,,,,,,,,,,,
269,ICICLE TECHNOLOGIES,"Mumbai,  Bengaluru / Bangalore",Core Java Developer,8 - 11,8,1,java  ,  database programming  ,  mobile  ,  data structures  ,  hibernate  ,  java programming  ,  sql programming  ,  java developer,,,,,,,,,,,,,,,,,,,,
270,Morgan Stanley Pvt Ltd,,C   Developer,0 - 3,0,3,c    ,  network programming  ,  linux  ,  api  ,  python  ,  github  ,  system programming  ,  c   programming  ,  infrastructure,,,,,,,,,,,,,,,,,,,
271,"Neeraj Recruiters
     (More Jobs)",(More Jobs),"Civil Engineer , Assistant Manager It , Senior Engineer It",1 - 6,1,6,Programming  ,  Engineering  ,  Manufacturing  ,  Civil  ,  Management,,,,,,,,,,,,,,,,,,,,,,,
272,"KODNEST TECHNOLOGIES PRIVATE LIMITED
     (More Jobs)",(More Jobs),Technical Trainer,0 - 3,0,3,Java  ,  algorithms  ,  programming  ,  Data Structure  ,  Automation Testing  ,  Python  ,  Programming,,,,,,,,,,,,,,,,,,,,,
273,iota labs llp,Bengaluru / Bangalore,Software Designer,2 - 6,2,6,python  ,  rest api  ,  server side programming  ,  windows  ,  javascript  ,  sql  ,  ruby  ,  java  ,  software designer  ,  network programming  ,  linux  ,  java programming,,,,,,,,,,,,,,,,
274,Simbus Technologies Pvt. Ltd.,Bengaluru / Bangalore,Business Intelligence / EPM Developer - Simbus,0 - 3,0,3,epm  ,  bi  ,  data warehousing  ,  sql  ,  database management  ,  java  ,  internet programming  ,  c programming  ,  technical skills  ,  shell programming  ,  unix,,,,,,,,,,,,,,,,,
275,scanpoint geomatics ltd.,Ahmedabad,"Software Engineer  ( DirectX ,  OpenGL ,  GDI  , MFC )",4 - 7,4,7,win32  ,  photogrammetry  ,  senior software engineer  ,  software engineer  ,  image processing  ,  system programming  ,  c   programming  ,  mfc  ,  opengl  ,  graphics programming  ,  vc    ,  directx,,,,,,,,,,,,,,,,
276,Larsen & Toubro Infotech Ltd,,Specialist - Software Engineering,3 - 6,3,6,web programming  ,  debugging  ,  software engineering  ,  software engineer,,,,,,,,,,,,,,,,,,,,,,,,
277,testingxperts,"Hyderabad/Secunderabad,  Noida/Greater Noida,  Chandigarh",Appium  &  c# Test Automation Engineers  ( Mobile ),0 - 3,0,3,c# programming  ,  oops  ,  Test Automation Engineers,,,,,,,,,,,,,,,,,,,,,,,,,
278,zf india pvt ltd,Chennai,Technical Lead - Cyber Security,0 - 3,0,3,c  ,  c   programming  ,  ece  ,  software requirements  ,  security,,,,,,,,,,,,,,,,,,,,,,,
279,HTSM Technologies Pvt. Ltd.,Kolkata,NodeJS Full Stack Developer,4 - 7,4,7,mentor  ,  application architecture  ,  coding  ,  application programming,,,,,,,,,,,,,,,,,,,,,,,,
280,TARGET,Bengaluru / Bangalore,Lead Engineer,7 - 10,7,1,rest api  ,  debugging  ,  infrastructure  ,  java programming,,,,,,,,,,,,,,,,,,,,,,,,
281,TandA HR Solutions,Gurgaon,TTCN Developer,4 - 7,4,7,c  ,  c   programming  ,  pdcp  ,  team player  ,  ttcn,,,,,,,,,,,,,,,,,,,,,,,
282,HARMAN INTERNATIONAL,Bengaluru / Bangalore,Senior Engineer,0 - 3,0,3,cursor  ,  svn  ,  t-sql  ,  git  ,  sql programming,,,,,,,,,,,,,,,,,,,,,,,
283,TandA HR Solutions,"Pune,  Bengaluru / Bangalore",C Developers,2 - 7,2,7,C Developers  ,  C programming  ,  Linux Kernel,,,,,,,,,,,,,,,,,,,,,,,,,
284,Kaarya Consulting Services Pvt Ltd,Hyderabad/Secunderabad,Oracle PL / SQL Developer,3 - 5,3,5,oracle pl  /  sql  ,  debugging  ,  programming language,,,,,,,,,,,,,,,,,,,,,,,,,
285,Jacobs Engineering Group Inc.,,Senior  /  Principal Environmental Water Quality Modeller,0 - 3,0,3,arcgis  ,  bi  ,  esri  ,  icm  ,  python  ,  database programming,,,,,,,,,,,,,,,,,,,,,,
286,HARMAN INTERNATIONAL,Bengaluru / Bangalore,"Sr Engineer II ,  SW - Embedded C    ( Camera )",7 - 10,7,1,c   programming  ,  problem solving  ,  bug fixing  ,  debugging,,,,,,,,,,,,,,,,,,,,,,,,
287,abservetech private limited,Madurai,Senior Full Stack Developers [ Node  &  Angular ],4 - 7,4,7,c  ,  c   programming  ,  operating system  ,  system architecture,,,,,,,,,,,,,,,,,,,,,,,,
288,Full Stack Technology,Gandhinagar,Junior Ionic Developer,0 - 3,0,3,oop  ,  infrastructure  ,  object oriented programming  ,  javascript,,,,,,,,,,,,,,,,,,,,,,,,
289,Full Stack Technology,Gandhinagar,Junior NodeJs Developer,0 - 3,0,3,oop  ,  database  ,  infrastructure  ,  object oriented programming  ,  javascript,,,,,,,,,,,,,,,,,,,,,,,
290,ATCS,Navi Mumbai,DW / BI Developer,2 - 5,2,5,bi  ,  bi developer  ,  etl  ,  ssis  ,  sql programming,,,,,,,,,,,,,,,,,,,,,,,
291,Menlo Technologies,Hyderabad/Secunderabad,MS.net Developer,5 - 8,5,8,css  ,  database programming  ,  entity framework  ,  html  ,  jquery,,,,,,,,,,,,,,,,,,,,,,,
292,Cogneesol,Mohali,Project Coordinator,0 - 3,0,3,computer programming  ,  leadership skills  ,  Project Coordinator,,,,,,,,,,,,,,,,,,,,,,,,,
294,right infotech solutions pvt. ltd,Delhi,Trainee Application Operations Engineer,0 - 3,0,3,python  ,  sql  ,  java  ,  apache  ,  unix shell programming,,,,,,,,,,,,,,,,,,,,,,,
295,GLOINNT Solutions Pvt. Ltd.,Bengaluru / Bangalore,Avionics Testing Engineer,7 - 12,7,1,avionics testing  ,  debugging  ,  problem solving  ,  c programming,,,,,,,,,,,,,,,,,,,,,,,,
296,Nielsen Research Ltd. Co.,Mumbai,Lead Consultant  ( Global Support ),3 - 6,3,6,software engineering  ,  python  ,  sas  ,  infrastructure  ,  sql programming,,,,,,,,,,,,,,,,,,,,,,,
297,"CA GURUKUL
     (More Jobs)",(More Jobs),Audit Accountant job in Patna for Fresher,0 - 1,0,1,Programming  ,  good communication skills  ,  Hard Working,,,,,,,,,,,,,,,,,,,,,,,,,
298,TandA HR Solutions,Gurgaon,Access Simulator,8 - 11,8,1,c    ,  simulator  ,  c  ,  c   programming  ,  tk  ,  tcl,,,,,,,,,,,,,,,,,,,,,,
299,APPLYCUP HIRING SOLUTIONS LLP,Noida/Greater Noida,Design  &  Verification Engineer_SMTS - SISW-MG,3 - 8,3,8,c    ,  python  ,  c  ,  object oriented programming  ,  perl,,,,,,,,,,,,,,,,,,,,,,,
300,tcg digital solutions pvt ltd,Kolkata,Data Science,3 - 5,3,5,data analytics  ,  functional analysis  ,  predictive analytics  ,  data science  ,  solution design,,,,,,,,,,,,,,,,,,,,,,,
301,Wow Labz,Bengaluru / Bangalore,Data Science,0 - 1,0,1,github  ,  python  ,  data mining  ,  mining  ,  machine learning  ,  sql  ,  forms,,,,,,,,,,,,,,,,,,,,,
302,bprise pvt ltd,Mumbai,Data Science,3 - 6,3,6,hive  ,  algorithms  ,  authoring  ,  data mining  ,  sql  ,  pig  ,  d3.js  ,  security  ,  java  ,  big data  ,  mongodb  ,  hbase  ,  python  ,  machine learning  ,  nosql  ,  cassandra,,,,,,,,,,,,
303,"Maxgen Technologies
     (More Jobs)",(More Jobs),Data Science Internship in Ahmedabad,0 - 1,0,1,data science,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,"Maxgen Technologies
     (More Jobs)",(More Jobs),Data Science Internship in Mumbai,0 - 1,0,1,data science,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,Tuebora Software Private Limited,Bengaluru / Bangalore,Data Science Engineer,1 - 3,1,3,data analysis  ,  data science  ,  business requirements  ,  data scientist,,,,,,,,,,,,,,,,,,,,,,,,
307,Deal4loans,Noida/Greater Noida,Director of Data Science,5 - 8,5,8,advanced analytics  ,  sas  ,  business requirements  ,  director  ,  sql  ,  data science,,,,,,,,,,,,,,,,,,,,,,
308,cognitio analytics,Gurgaon,"Assistant Manager ,  Data Science",4 - 7,4,7,R or Python   ,  SQL  ,   ETL  &  BI  ,  Data Science,,,,,,,,,,,,,,,,,,,,,,,,
309,Visa Inc.,Indonesia,"Senior Manager ,  Data Science",8 - 10,8,1,logistic regression  ,  data analytics  ,  sql  ,  data science  ,  sas  ,  consulting  ,  factor analysis,,,,,,,,,,,,,,,,,,,,,
310,Citibank India,Pune,Data Science Analyst,0 - 2,0,2,data science  ,  use cases  ,  statistical modeling  ,  functional specifications  ,  data analysis  ,  business environment  ,  analyst,,,,,,,,,,,,,,,,,,,,,
311,Visa Inc.,Philippines,"Senior Manager ,  Data Science",8 - 10,8,1,logistic regression  ,  data analytics  ,  sql  ,  data science  ,  sas  ,  consulting  ,  factor analysis,,,,,,,,,,,,,,,,,,,,,
312,ICON PLC,,"Manager ,  Data Science",4 - 7,4,7,rfps  ,  database  ,  data science  ,  data scientist  ,  advanced analytics  ,  data analysis  ,  oracle  ,  predictive modeling  ,  project analysis,,,,,,,,,,,,,,,,,,,
313,TransOrg Analytics,Gurgaon,Data Science Specialist,3 - 6,3,6,data mining  ,  bi  ,  dashboards  ,  sql  ,  data science  ,  logistic regression  ,  advanced analytics  ,  data analysis  ,  predictive analytics,,,,,,,,,,,,,,,,,,,
314,"Maxgen Technologies
     (More Jobs)",(More Jobs),Data Science Internship in Pune,0 - 1,0,1,data science,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,Matrimony.com ltd,Chennai,Manager Data Science,3 - 6,3,6,data analysis  ,  predictive analytics  ,  spss  ,  sql  ,  factor analysis  ,  data science  ,  business process,,,,,,,,,,,,,,,,,,,,,
316,DENTSU,Pune,Manager- Data Science,3 - 6,3,6,business requirements  ,  bi  ,  dashboards  ,  data science  ,  advanced excel  ,  sassql  ,  tableau  ,  forms,,,,,,,,,,,,,,,,,,,,
317,Merkle Inc.,Pune,Manager- Data Science,3 - 6,3,6,business requirements  ,  bi  ,  dashboards  ,  data science  ,  advanced excel  ,  sassql  ,  tableau  ,  forms,,,,,,,,,,,,,,,,,,,,
318,alliance recruitment agency,Kolkata,Data Science Engineer,5 - 10,5,1,anova  ,  spss  ,  text analytics  ,  sql  ,  data science  ,  cluster analysis  ,  logisticregression  ,  advanced analytics  ,  consulting  ,  factor analysis,,,,,,,,,,,,,,,,,,
319,MetrixLab,,Data Science Senior Consultant,0 - 3,0,3,rfps  ,  spss  ,  ensemble  ,  ds  ,  data science  ,  advanced analytics  ,  sas  ,  pricing models  ,  factor analysis,,,,,,,,,,,,,,,,,,,
320,RedLotus,Mumbai,Chief Data Science officer,15 - 18,1, ,mathematics  ,  spoken english  ,  science  ,  statistics,,,,,,,,,,,,,,,,,,,,,,,,
321,Citibank India,Pune,Data Science Analyst,1 - 4,1,4,hive  ,  data mining  ,  hadoop  ,  big data  ,  python  ,  production environment,,,,,,,,,,,,,,,,,,,,,,
322,Nielsen Research Ltd. Co.,,"Director ,  Data Science",5 - 8,5,8,apache  ,  hadoop  ,  big data  ,  director  ,  machine learning,,,,,,,,,,,,,,,,,,,,,,,
323,Binance,Canada,Data Science Lead,5 - 8,5,8,algorithms  ,  big data  ,  natural language processing  ,  machine learning  ,  infrastructure,,,,,,,,,,,,,,,,,,,,,,,
324,Iqvia,,Data Science - Team Lead,0 - 3,0,3,algorithms  ,  conference  ,  ensemble  ,  big data  ,  python  ,  director  ,  problem solving  ,  machine learning,,,,,,,,,,,,,,,,,,,,
325,CAPITAL ONE FINANCIAL SERVICES CLIENT,,"Senior Manager ,  Data Science",7 - 10,7,1,scala  ,  cloud computing  ,  big data  ,  san  ,  python  ,  machine learning,,,,,,,,,,,,,,,,,,,,,,
326,Kpro Solutions,Bengaluru / Bangalore,Analytics  &  Data Science,9 - 12,9,1,python  ,  sas  ,  sql  ,  data extraction  ,  hadoop,,,,,,,,,,,,,,,,,,,,,,,
327,Merilytics,Hyderabad/Secunderabad,Manager - Data Science,3 - 5,3,5,fundamentals  ,  algorithms  ,  python  ,  algorithm development  ,  machine learning  ,  hadoop  ,  big data,,,,,,,,,,,,,,,,,,,,,
328,CAPITAL ONE FINANCIAL SERVICES CLIENT,,"Principal Associate ,  Data Science",2 - 8,2,8,cloud computing  ,  big data  ,  san  ,  python  ,  machine learning,,,,,,,,,,,,,,,,,,,,,,,
329,CAPITAL ONE FINANCIAL SERVICES CLIENT,,"Manager ,  Data Science",6 - 9,6,9,scala  ,  sql  ,  big data  ,  san  ,  python  ,  machine learning  ,  infrastructure,,,,,,,,,,,,,,,,,,,,,
330,APPLYCUP HIRING SOLUTIONS LLP,"Delhi,  Delhi/NCR",Analyst / Architect  Data Science,4 - 7,4,7,metadata  ,  bi  ,  data warehousing  ,  business intelligence  ,  security  ,  data modeling  ,  technology management  ,  etl  ,  information management  ,  business environment  ,  data quality,,,,,,,,,,,,,,,,,
331,CAPITAL ONE FINANCIAL SERVICES CLIENT,,"Manager ,  Data Science",6 - 9,6,9,scala  ,  sql  ,  cloud computing  ,  big data  ,  san  ,  python  ,  machine learning,,,,,,,,,,,,,,,,,,,,,
332,CODEC Networks,"Delhi,  Delhi/NCR",Data Science  &  Analytic,1 - 2,1,2,hive  ,  algorithms  ,  data mining  ,  pig  ,  sql  ,  java  ,  apache  ,  hadoop  ,  technical skills  ,  big data  ,  hbase  ,  python  ,  impala  ,  machine learning  ,  mapreduce  ,  consultant,,,,,,,,,,,,
333,CAPITAL ONE FINANCIAL SERVICES CLIENT,,Principal Data Science,5 - 8,5,8,scala  ,  sql  ,  cloud computing  ,  big data  ,  san  ,  python  ,  machine learning,,,,,,,,,,,,,,,,,,,,,
335,Larsen & Toubro Infotech Ltd,,Associate Principal- Data Sciences,3 - 6,3,6,scala  ,  hosting  ,  docker  ,  database  ,  data structures  ,  hadoop  ,  python  ,  machine learning  ,  written communication  ,  infrastructure,,,,,,,,,,,,,,,,,,
336,CareerXperts Consulting,Hyderabad/Secunderabad,Data Science Manager,9 - 15,9,1,python  ,  natural language processing  ,  linear programming  ,  machine learning  ,  big data,,,,,,,,,,,,,,,,,,,,,,,
337,Merilytics,Hyderabad/Secunderabad,Senior Manager - Data Science,4 - 8,4,8,fundamentals  ,  algorithms  ,  big data  ,  python  ,  c  ,  algorithm development  ,  machine learning,,,,,,,,,,,,,,,,,,,,,
338,MERITUS INTELYTICS PRIVATE LIMITED,Hyderabad/Secunderabad,Senior Manager - Data Science,4 - 8,4,8,fundamentals  ,  algorithms  ,  big data  ,  python  ,  c  ,  algorithm development  ,  machine learning,,,,,,,,,,,,,,,,,,,,,
339,MERITUS INTELYTICS PRIVATE LIMITED,Hyderabad/Secunderabad,Manager - Data Science,3 - 5,3,5,fundamentals  ,  algorithms  ,  python  ,  algorithm development  ,  machine learning  ,  hadoop  ,  big data,,,,,,,,,,,,,,,,,,,,,
340,Alstom Projects India Ltd.,Bengaluru / Bangalore,Data Science Technical Specialist,5 - 8,5,8,devops  ,  python  ,  director  ,  unix  ,  data mining  ,  technical specialist  ,  sql  ,  docker  ,  database  ,  git  ,  linux  ,  natural language processing  ,  information retrieval  ,  team player  ,  machine learning  ,  delivery manager  ,  infrastructure,,,,,,,,,,,
341,Visa Inc.,,"Senior Manager ,  Data Science",8 - 11,8,1,hive  ,  data mining  ,  sql  ,  hadoop  ,  san  ,  python  ,  mobile  ,  impala  ,  machine learning  ,  written communication,,,,,,,,,,,,,,,,,,
342,Visa Inc.,,"Senior Manager ,  Data Science",5 - 8,5,8,artificial intelligence  ,  big data  ,  python  ,  impala  ,  unix  /  linux  ,  hive  ,  security  ,  hadoop  ,  san  ,  machine learning  ,  project delivery,,,,,,,,,,,,,,,,,
343,Iqvia,,Data Science Manager,0 - 3,0,3,algorithms  ,  conference  ,  ensemble  ,  big data  ,  python  ,  director  ,  problem solving  ,  machine learning,,,,,,,,,,,,,,,,,,,,
344,CAPITAL ONE FINANCIAL SERVICES CLIENT,,"Manager ,  Data Science - Marketing",6 - 9,6,9,scala  ,  ds  ,  sql  ,  cloud computing  ,  big data  ,  san  ,  python  ,  machine learning  ,  infrastructure,,,,,,,,,,,,,,,,,,,
345,evertz,Bengaluru / Bangalore,Data Science Engineer,3 - 7,3,7,production  ,  engineering support  ,  process data  ,  cutting,,,,,,,,,,,,,,,,,,,,,,,,
346,MERITUS INTELYTICS PRIVATE LIMITED,Hyderabad/Secunderabad,Analyst - Data Science,0 - 3,0,3,fundamentals  ,  algorithms  ,  algorithm development  ,  machine learning  ,  hadoop  ,  big data,,,,,,,,,,,,,,,,,,,,,,
347,Citibank India,Mumbai,Data Science Developer,7 - 10,7,1,orchestration  ,  program management  ,  java  ,  big data  ,  python  ,  impala  ,  unix  /  linux  ,  algorithms  ,  scala  ,  bi  ,  hadoop  ,  cloud computing  ,  operating system  ,  written communication  ,  infrastructure  ,  hdfs,,,,,,,,,,,,
348,The Smart Cube India Pvt Ltd,Noida/Greater Noida,Manager - Data Science,6 - 8,6,8,algorithms  ,  telecom  ,  big data  ,  python  ,  machine learning  ,  hdfs,,,,,,,,,,,,,,,,,,,,,,
349,The Smart Cube India Pvt Ltd,Noida/Greater Noida,Senior Manager - Data Science,10 - 13,1, ,algorithms  ,  telecom  ,  big data  ,  python  ,  machine learning  ,  hdfs,,,,,,,,,,,,,,,,,,,,,,
350,Merilytics,Hyderabad/Secunderabad,Analyst - Data Science,0 - 3,0,3,fundamentals  ,  algorithms  ,  algorithm development  ,  machine learning  ,  hadoop  ,  big data,,,,,,,,,,,,,,,,,,,,,,
351,NUWARE SYSTEMS PVT LTD,Bengaluru / Bangalore,Analyst - Data Science,3 - 6,3,6,python  ,  rdbms  ,  data mining  ,  machine learning  ,  sql  ,  senior software developer  ,  software developer,,,,,,,,,,,,,,,,,,,,,
352,alliance recruitment agency,Pune,Data Science Engineer,2 - 10,2,1,hive  ,  algorithms  ,  data mining  ,  machine learning  ,  sql  ,  pig  ,  nosql  ,  d3.js  ,  cassandra  ,  mongodb  ,  hbase,,,,,,,,,,,,,,,,,
353,PUBLICIS GROUPE,Bengaluru / Bangalore,"Manager ,  Data Science",8 - 10,8,1,c    ,  t-sql  ,  spring  ,  java  ,  distributed databases  ,  big data  ,  python  ,  messaging  ,  delivery management  ,  hive  ,  algorithms  ,  hibernate  ,  sql  ,  database  ,  git  ,  hadoop  ,  cloud services  ,  c  ,  operating system  ,  team player  ,  machine learning  ,  hdfs,,,,,,
354,The Knot Worldwide,Spain,"Director ,  Data Science and Analytics",4 - 7,4,7,sql  ,  python  ,  director  ,  machine learning,,,,,,,,,,,,,,,,,,,,,,,,
355,CAPITAL ONE FINANCIAL SERVICES CLIENT,,"Manager ,  Data Science",6 - 9,6,9,big data  ,  python  ,  scala  ,  sql  ,  cloud computing  ,  san  ,  machine learning,,,,,,,,,,,,,,,,,,,,,
356,CME Group Inc.,,"Senior Director ,  Data Science",8 - 12,8,1,sql  ,  java  ,  pattern recognition  ,  python  ,  director  ,  machine learning  ,  infrastructure,,,,,,,,,,,,,,,,,,,,,
357,QUANTIUM SOLUTIONS,Hyderabad/Secunderabad,Executive Manager - Data Science,8 - 11,8,1,artificial intelligence  ,  api  ,  python  ,  sql  ,  git  ,  consultant  ,  cloud storage,,,,,,,,,,,,,,,,,,,,,
358,infimetrics info solutions pvt. ltd,Nagpur,Data Science Interns  / Python,0 - 3,0,3,python  ,  css  ,  c    ,  html  ,  machine learning  ,  technical skills,,,,,,,,,,,,,,,,,,,,,,
359,CAPITAL ONE FINANCIAL SERVICES CLIENT,,"Manager ,  Data Science",6 - 9,6,9,scala  ,  sql  ,  cloud computing  ,  san  ,  python  ,  machine learning,,,,,,,,,,,,,,,,,,,,,,
360,tech pathway,Jaipur,Data Science Expert,5 - 8,5,8,hive  ,  algorithms  ,  machine learning  ,  sql  ,  pig  ,  nosql  ,  d3.js  ,  cassandra  ,  mongodb  ,  hbase,,,,,,,,,,,,,,,,,,
361,Paytm,"Noida/Greater Noida,  Mumbai,  Bengaluru / Bangalore",Data Science - Manager,3 - 8,3,8,merchant services  ,  financial services  ,  portfolio  ,  wealth  ,  lending  ,  loans  ,  personal loans  ,  risk,,,,,,,,,,,,,,,,,,,,
362,xtranet technologies private limited,Bhopal,Python Data Science Developer,5 - 7,5,7,python  ,  css  ,  xpath  ,  ece  ,  web technologies  ,  html  ,  machine learning  ,  javascript,,,,,,,,,,,,,,,,,,,,
363,glan management consultancy pvt. ltd.,Gurgaon,Data Science Specialist,5 - 8,5,8,security  ,  python  ,  sas  ,  machine learning  ,  sql,,,,,,,,,,,,,,,,,,,,,,,
364,MongoDB Software India Pvt Ltd.,New York City,Director of Data Science,20 - 23,2, ,learning  ,  communication  ,  communication skills  ,  leave policy  ,  decision making  ,  interview,,,,,,,,,,,,,,,,,,,,,,
365,Doodleblue Innovations Pvt Ltd,Chennai,Data Sciences Expert,0 - 3,0,3,algorithms  ,  d3.js  ,  machine learning  ,  mongodb  ,  nosql,,,,,,,,,,,,,,,,,,,,,,,
367,Flytxt Mobile Solutions Pvt Ltd,Thiruvananthapuram,Data Science Manager-R & D,2 - 5,2,5,fundamentals  ,  algorithms  ,  conference  ,  artificial intelligence  ,  apache  ,  python  ,  machine learning  ,  dsm,,,,,,,,,,,,,,,,,,,,
368,CAPITAL ONE FINANCIAL SERVICES CLIENT,,"Principal Associate ,  Data Science",5 - 8,5,8,sql  ,  cloud computing  ,  san  ,  python  ,  machine learning,,,,,,,,,,,,,,,,,,,,,,,
369,Nielsen Research Ltd. Co.,Chicago,Data Science Engineer,3 - 6,3,6,algorithms  ,  c    ,  scala  ,  sql  ,  java  ,  git  ,  distributed databases  ,  debugging  ,  hadoop  ,  python  ,  cloud services  ,  sas  ,  machine learning,,,,,,,,,,,,,,,
370,cognitio analytics,Gurgaon,"Senior Analyst ,  Data Science",2 - 5,2,5,python  ,  sas  ,  problem solving  ,  machine learning  ,  sql  ,  technical skills,,,,,,,,,,,,,,,,,,,,,,
371,spinny,Gurgaon,Product Manager  Data Science,6 - 8,6,8,leadership skills  ,  problem solving,,,,,,,,,,,,,,,,,,,,,,,,,,
372,Spectrum Softtech Solutions Pvt Ltd,Cochin/ Kochi/ Ernakulam,DATA SCIENCE TRAINER,0 - 1,0,1,fundamentals  ,  algorithms  ,  python  ,  machine learning  ,  .net,,,,,,,,,,,,,,,,,,,,,,,
373,Morgan Stanley Pvt Ltd,,AVP - Data Science,8 - 11,8,1,algorithms  ,  artificial intelligence  ,  sql  ,  digitization  ,  python  ,  machine learning  ,  written communication,,,,,,,,,,,,,,,,,,,,,
374,Morgan Stanley Pvt Ltd,,VP / AVP - Data Science,8 - 11,8,1,algorithms  ,  artificial intelligence  ,  sql  ,  digitization  ,  python  ,  machine learning  ,  written communication,,,,,,,,,,,,,,,,,,,,,
376,"Maxgen Technologies
     (More Jobs)",(More Jobs),Data Science Internship in Mumbai,0 - 1,0,1,.,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,"Maxgen Technologies
     (More Jobs)",(More Jobs),Data Science Internship in Ahmedabad,0 - 1,0,1,.,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,"Maxgen Technologies
     (More Jobs)",(More Jobs),Data Science Internship in Pune,0 - 1,0,1,.,,,,,,,,,,,,,,,,,,,,,,,,,,,
