,company,location,position,experience,Experience_min,Experience_max,skill_1,skill_2,skill_3,skill_4,skill_5,skill_6,skill_7,skill_8,skill_9,skill_10,skill_11,skill_12,skill_13,skill_14,skill_15,skill_16,skill_17,skill_18,skill_19,skill_20,skill_21,skill_22,skill_23,skill_24,skill_25,skill_26,skill_27,skill_28
63,Ctd Techs Private Limited,"Chennai,  Bengaluru / Bangalore",Python Developer,3 - 5,3,5,html5  ,  storage  ,  artificial intelligence  ,  security  ,  testing tools  ,  debugging  ,  python  ,  javascript  ,  django,,,,,,,,,,,,,,,,,,,
64,3Embed Software Technologies,Bengaluru / Bangalore,PYTHON DEVELOPERS,1 - 3,1,3,python  ,  django  ,  rest api  ,  operating system  ,  mysql  ,  data structures  ,  hadoop  ,  mvc  ,  mongodb,,,,,,,,,,,,,,,,,,,
65,Infosys Technologies Ltd,,Python Developer,4 - 7,4,7,algorithms  ,  information technology  ,  scala  ,  sql  ,  memory management  ,  unix shell scripting  ,  oops  ,  data structures  ,  software engineering  ,  hadoop  ,  big data  ,  global delivery  ,  python,,,,,,,,,,,,,,,
66,AxisTechnolabs,Ahmedabad,Python Developer,0 - 1,0,1,python  ,  css  ,  user interaction  ,  bootstrap  ,  openerp  ,  database  ,  xml  ,  oops  ,  html,,,,,,,,,,,,,,,,,,,
67,Doodleblue Innovations Pvt Ltd,Chennai,Python Developer,0 - 3,0,3,python  ,  database  ,  django  ,  git  ,  html5  ,  debugging  ,  javascript  ,  jquery,,,,,,,,,,,,,,,,,,,,
68,NuageBiz.Tech,Noida/Greater Noida,Python Developer,2 - 5,2,5,python  ,  mobile  ,  team player  ,  svn  ,  security  ,  git  ,  software engineering,,,,,,,,,,,,,,,,,,,,,
69,pegasus knowledge solutions india pvt ltd.,Bengaluru / Bangalore,Python Developer,0 - 3,0,3,python  ,  css  ,  django  ,  java  ,  html  ,  bootstrap  ,  api  ,  jquery  ,  sql,,,,,,,,,,,,,,,,,,,
70,Techasoft Pvt Ltd,Bengaluru / Bangalore,Python Developer,0 - 3,0,3,python  ,  javascript  ,  docker  ,  django  ,  postgresql  ,  oops  ,  mysql  ,  mongodb  ,  opencv,,,,,,,,,,,,,,,,,,,
71,Schneider Electric Pvt Ltd,,Python Developer,2 - 5,2,5,html5  ,  database  ,  postgresql  ,  debugging  ,  python  ,  triggers  ,  javascript  ,  django,,,,,,,,,,,,,,,,,,,,
72,gammastack indore,Indore,Python Developer,0 - 3,0,3,python  ,  database  ,  django  ,  rest api  ,  oops  ,  machine learning  ,  artificial intelligence,,,,,,,,,,,,,,,,,,,,,
73,Oak systems pvt ltd,Bengaluru / Bangalore,Python Engineer,5 - 8,5,8,c#  ,  python  ,  c    ,  c  ,  software testing  ,  groovy  ,  git  ,  .net,,,,,,,,,,,,,,,,,,,,
74,WBC Software Lab,Chennai,Python Developer,2 - 5,2,5,python  ,  git  ,  rest api  ,  linux  ,  mobile  ,  mongodb  ,  docker,,,,,,,,,,,,,,,,,,,,,
75,AxisTechnolabs,Ahmedabad,Python developer,1 - 4,1,4,python  ,  django  ,  html5  ,  team player  ,  angularjs  ,  javascript,,,,,,,,,,,,,,,,,,,,,,
76,knowledge lens,Bengaluru / Bangalore,Python Developer,1 - 4,1,4,python  ,  tornado  ,  artificial intelligence  ,  database  ,  devops  ,  linux  ,  mysql  ,  mongodb,,,,,,,,,,,,,,,,,,,,
77,APPLYCUP HIRING SOLUTIONS LLP,Bengaluru / Bangalore,Python Developer,2 - 5,2,5,python  ,  django  ,  git  ,  postgresql  ,  web developer  ,  html  ,  mysql  ,  bootstrap  ,  javascript,,,,,,,,,,,,,,,,,,,
78,APPLYCUP HIRING SOLUTIONS LLP,Hyderabad/Secunderabad,Python Developer,3 - 6,3,6,python  ,  tornado  ,  sql  ,  django  ,  git  ,  postgresql  ,  linux  ,  mysql  ,  software engineering,,,,,,,,,,,,,,,,,,,
79,APPLYCUP HIRING SOLUTIONS LLP,Bengaluru / Bangalore,Python Lead,8 - 11,8,1,algorithms  ,  python  ,  django  ,  written communication  ,  data structures  ,  team player,,,,,,,,,,,,,,,,,,,,,,
80,JobsLo Consultants,Pune,Python Developer,7 - 12,7,1,python  ,  oracle  ,  rdbms  ,  scala  ,  data warehousing  ,  team player  ,  git,,,,,,,,,,,,,,,,,,,,,
81,Fluper Limited,Noida/Greater Noida,Python Developer,2 - 7,2,7,c#  ,  python  ,  virtual reality  ,  mobile  ,  augmented reality  ,  opencv,,,,,,,,,,,,,,,,,,,,,,
82,TandA HR Solutions,Gurgaon,Python Developer,2 - 7,2,7,rest  ,  python  ,  html5  ,  javascript  ,  docker  ,  node.js  ,  django  ,  json  ,  mongodb,,,,,,,,,,,,,,,,,,,
83,Claritaz TechLabs LLP,Chennai,Python Developer,0 - 3,0,3,python  ,  django  ,  git  ,  rest api  ,  multithreading  ,  shell scripting  ,  api,,,,,,,,,,,,,,,,,,,,,
84,Infosys Technologies Ltd,,Python Developer,4 - 7,4,7,information technology  ,  oss  ,  java  ,  telecom  ,  global delivery  ,  python  ,  django  ,  written communication,,,,,,,,,,,,,,,,,,,,
85,SplendorNet Technologies Pvt. Ltd.,Pune,Python - Fresher,0 - 3,0,3,python  ,  css  ,  django  ,  rest api  ,  web development  ,  html  ,  angularjs  ,  javascript  ,  jquery,,,,,,,,,,,,,,,,,,,
86,Opti sol solutions,Madurai,Python Developer,2 - 4,2,4,python  ,  html5  ,  mobile  ,  javascript  ,  security  ,  django,,,,,,,,,,,,,,,,,,,,,,
87,GenieTalk,Indore,Python Developer,0 - 3,0,3,html5  ,  storage  ,  security  ,  database  ,  git  ,  debugging  ,  mysql  ,  mongodb  ,  python  ,  cloud services  ,  mobile  ,  svn  ,  javascript  ,  django  ,  angularjs,,,,,,,,,,,,,
88,APPLYCUP HIRING SOLUTIONS LLP,Nasik,Python Developer,1 - 3,1,3,rest  ,  python  ,  team player  ,  sql  ,  security  ,  database  ,  django  ,  web technologies  ,  php  ,  debugging  ,  html  ,  shell scripting  ,  soap,,,,,,,,,,,,,,,
89,Enquero Global Llp,Bengaluru / Bangalore,Python Developer,6 - 9,6,9,algorithms  ,  information technology  ,  rest api  ,  sql  ,  system analysis  ,  data structures  ,  python  ,  problem solving  ,  team player,,,,,,,,,,,,,,,,,,,
90,GEMINI SOFTWARE SOLUTIONS,Gurgaon,Python Developer,3 - 6,3,6,algorithms  ,  database  ,  senior software developer  ,  shell scripting  ,  object oriented programming  ,  python  ,  team player  ,  machine learning  ,  django  ,  unix  /  linux,,,,,,,,,,,,,,,,,,
91,PNR Software Solutions Private Limited,Hyderabad/Secunderabad,Python Developer,3 - 6,3,6,python  ,  github  ,  telecom bss  ,  django  ,  devops  ,  linux  ,  debugging  ,  telecom  ,  api  ,  unix,,,,,,,,,,,,,,,,,,
92,Wing Global IT Services,Panchkula,Python Developer,2 - 5,2,5,spring boot  ,  python  ,  java  ,  django  ,  jpa  ,  hibernate,,,,,,,,,,,,,,,,,,,,,,
93,APPLYCUP HIRING SOLUTIONS LLP,Ahmedabad,Python Developer,5 - 8,5,8,python  ,  nosql  ,  xpath  ,  database  ,  django  ,  postgresql  ,  xml  ,  json  ,  perl  ,  mongodb  ,  couchdb,,,,,,,,,,,,,,,,,
94,IBS  ( INFINITIVE BUSINESS SOLUTION ),,Python Developer,0 - 3,0,3,service oriented  ,  c    ,  dbms  ,  sql  ,  security  ,  java  ,  xml  ,  devops  ,  html  ,  rest  ,  python  ,  c  ,  oracle  ,  javascript  ,  infrastructure  ,  soap,,,,,,,,,,,,
95,Harmony Data Integration Technologies,Mohali,Python Developer,3 - 6,3,6,python  ,  css  ,  machine learning  ,  javascript  ,  artificial intelligence  ,  xpath  ,  web technologies  ,  debugging  ,  html  ,  sql programming,,,,,,,,,,,,,,,,,,
96,magnarus technologies private limited,Hyderabad/Secunderabad,Python Developer,1 - 3,1,3,image processing  ,  python  ,  c  ,  c   programming  ,  operating system  ,  team player  ,  database  ,  mysql  ,  unix,,,,,,,,,,,,,,,,,,,
97,CAP Digisoft Solutions Inc.,Coimbatore,Python Developer,2 - 5,2,5,python  ,  css  ,  html5  ,  sql  ,  nosql  ,  web tools  ,  xml  ,  infrastructure  ,  json,,,,,,,,,,,,,,,,,,,
